place,type_of_meteorite,mass_g,year,cartodb_id,year_date,longitude,latitude
Waltman,L4,23410,1948,725,01.01.1948 00:00,"-107,16667",43
Lake Brown,L6,23400,1919,726,01.01.1919 00:00,"118,5",-31
Sharon Springs,L6,23400,1983,727,01.01.1983 00:00,"-101,79833","38,77083"
Pillistfer,EL6,23250,1863,728,1863-01-01 00:00:00,"25,73333","58,66667"
Nakhon Pathom,L6,23200,1923,729,01.01.1923 00:00,"100,08333","13,73333"
Kaufman,L5,23000,1893,730,1893-01-01 00:00:00,"-96,41667","32,58333"
Norfolk,"Iron, IIIAB",23000,1907,731,01.01.1907 00:00,"-76,3","36,9"
Cruz del Aire,"Iron, ungrouped",23000,1911,732,01.01.1911 00:00,-100,"26,5"
Fuhe,L5,23000,1945,733,01.01.1945 00:00,"113,56694","31,47556"
Isna,CO3.8,23000,1970,734,01.01.1970 00:00,"31,66667","24,83333"
Mount Sir Charles,"Iron, IVA",22900,1942,735,01.01.1942 00:00,"134,03333","-23,83333"
Mez̦-Madaras,L3.7,22700,1852,736,1852-01-01 00:00:00,"25,73333","46,5"
Wooster,"Iron, IAB-sLL",22700,1858,737,1858-01-01 00:00:00,"-81,95","40,76667"
Shirahagi,"Iron, IVA",22700,1890,738,1890-01-01 00:00:00,"137,36667","36,7"
Forsyth County,"Iron, IIAB",22700,1891,739,1891-01-01 00:00:00,"-80,2","36,1"
Duchesne,"Iron, IVA",22700,1906,740,01.01.1906 00:00,"-110,86667","40,38333"
Gun Creek,"Iron, ungrouped",22700,1909,741,01.01.1909 00:00,-111,34
Adrian,H4,22600,1936,742,01.01.1936 00:00,"-102,71667","35,15"
Turtle River,"Iron, IIIAB",22390,1953,743,01.01.1953 00:00,"-94,76667","47,6"
Mangwendi,LL6,22300,1934,744,01.01.1934 00:00,"31,6","-17,65"
Maltah̦he,"Iron, IAB-sLM",22270,1991,745,01.01.1991 00:00,"16,98333","-24,91667"
HaH 087,L6,22114,1995,746,01.01.1995 00:00,"13,269","28,59583"
Toubil River,"Iron, IIIAB",22000,1891,747,1891-01-01 00:00:00,"89,1","55,88333"
Karkh,L6,22000,1905,748,01.01.1905 00:00,"67,16667","27,8"
Baquedano,"Iron, IIIAB",22000,1932,749,01.01.1932 00:00,"-69,88333","-23,3"
